rr,gg,bb,d,k,l,a,b,c
4.000000000000000222e-01,6.999999999999999556e-01,6.999999999999999556e-01,1.750011620475726837e-01,-6.308608961573849427e-01,6.361945511999999026e-01,2.898245010257077467e-02,1.459004111834576395e-03,1.592077812097354326e-03
4.000000000000000222e-01,1.000000000000000000e+00,6.999999999999999556e-01,2.246705817438720831e-01,-8.451335859694758534e-01,8.507459687999999742e-01,2.453545606987485306e-02,1.268085049563144563e-03,1.247420199682248987e-03
6.999999999999999556e-01,1.000000000000000056e-01,6.999999999999999556e-01,1.187907510652474879e-01,-2.660484265525492331e-01,2.708691648000000063e-01,1.351679147282813104e-02,1.685283461149092747e-03,1.613037142800646849e-03
6.999999999999999556e-01,4.000000000000000222e-01,6.999999999999999556e-01,1.684601707615468735e-01,-4.803211163646401438e-01,4.854205824000000224e-01,3.723233260548614032e-02,1.741492888183916472e-03,2.394912770665734696e-03
6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,2.181295904578462730e-01,-6.945938061767310545e-01,6.999719999999999276e-01,4.906009704964862245e-02,1.583308536554326644e-03,2.102836344293257387e-03
6.999999999999999556e-01,1.000000000000000000e+00,6.999999999999999556e-01,2.677990101541456447e-01,-9.088664959888220762e-01,9.145234175999999993e-01,5.039496848790001038e-02,1.414578894732835017e-03,1.885289118793421559e-03
1.000000000000000000e+00,1.000000000000000056e-01,6.999999999999999556e-01,1.619191794755210634e-01,-3.297813365718954004e-01,3.346466136000000313e-01,1.687099626594405072e-02,2.016930667297026775e-03,1.967549439499963627e-03
1.000000000000000000e+00,4.000000000000000222e-01,6.999999999999999556e-01,2.115885991718204628e-01,-5.440540263839863666e-01,5.491980311999999920e-01,4.653894171792918172e-02,1.677244617559746874e-03,2.986353433859512303e-03
1.000000000000000000e+00,6.999999999999999556e-01,6.999999999999999556e-01,2.612580188681198345e-01,-7.583267161960772773e-01,7.637494487999999526e-01,5.994228158524027988e-02,1.866920026315638031e-03,2.643216383524956466e-03
1.000000000000000000e+00,1.000000000000000000e+00,6.999999999999999556e-01,3.109274385644191785e-01,-9.725994060081682990e-01,9.783008664000000243e-01,6.679553371043502052e-02,1.854338719117114027e-03,2.418093511518616158e-03
1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+00,3.322015633434721033e-02,-1.582600664724473083e-01,1.649734008000000030e-01,7.913681514726459906e-03,1.055384556604553820e-03,1.002269024951746908e-03
1.000000000000000056e-01,4.000000000000000222e-01,1.000000000000000000e+00,8.288957603064660284e-02,-3.725327562845382467e-01,3.795248184000000191e-01,1.647772235890180431e-02,2.405284995115030029e-03,2.240718128065782421e-03
1.000000000000000056e-01,6.999999999999999556e-01,1.000000000000000000e+00,1.325589957269459884e-01,-5.868054460966292130e-01,5.940762360000000353e-01,1.476077366836585532e-02,3.249816536521002094e-03,2.455958318224428418e-03
1.000000000000000056e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.822284154232453879e-01,-8.010781359087202347e-01,8.086276535999999959e-01,1.183010909341109494e-02,2.875350198243915249e-03,1.684914219990490698e-03
4.000000000000000222e-01,1.000000000000000056e-01,1.000000000000000000e+00,7.634858474462077882e-02,-2.219929764917935033e-01,2.287508496000000280e-01,1.096888514571069465e-02,1.462982975282830014e-03,1.389262399569135423e-03
4.000000000000000222e-01,4.000000000000000222e-01,1.000000000000000000e+00,1.260180044409201783e-01,-4.362656663038844695e-01,4.433022672000000441e-01,2.147945391435590601e-02,2.714108811570679815e-03,2.522896921840483021e-03
4.000000000000000222e-01,6.999999999999999556e-01,1.000000000000000000e+00,1.756874241372195500e-01,-6.505383561159754358e-01,6.578536847999999493e-01,2.807186229131766048e-02,2.903673712956701767e-03,2.586890375982312234e-03
4.000000000000000222e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.253568438335189494e-01,-8.648110459280662354e-01,8.724051024000000210e-01,2.657280343682850987e-02,2.247044191834218340e-03,1.930481002353535069e-03
6.999999999999999556e-01,1.000000000000000056e-01,1.000000000000000000e+00,1.194770131548943543e-01,-2.857258865111397261e-01,2.925282983999999975e-01,1.402384329381933976e-02,1.863544684037109688e-03,1.769093100094709225e-03
6.999999999999999556e-01,4.000000000000000222e-01,1.000000000000000000e+00,1.691464328511937398e-01,-4.999985763232306368e-01,5.070797160000000137e-01,3.278131555875427039e-02,2.843935100424985728e-03,2.857698929078785789e-03
6.999999999999999556e-01,6.999999999999999556e-01,1.000000000000000000e+00,2.188158525474931393e-01,-7.142712661353214365e-01,7.216311335999999743e-01,4.851991490553234088e-02,2.539052874191326508e-03,3.041426015029119294e-03
6.999999999999999556e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.684852722437925387e-01,-9.285439559474124582e-01,9.361825512000000460e-01,5.251243488409707699e-02,2.056682068788302092e-03,2.545322503976115217e-03
1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,1.626054415651679297e-01,-3.494587965304858934e-01,3.563057472000000225e-01,1.724150005992593215e-02,2.244667654583039785e-03,2.136018037310039117e-03
1.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+00,2.122748612614673291e-01,-5.637314863425768596e-01,5.708571648000000387e-01,4.239673031465658604e-02,2.785548355769260076e-03,3.220434177342533771e-03
1.000000000000000000e+00,6.999999999999999556e-01,1.000000000000000000e+00,2.619442809577667286e-01,-7.780041761546676593e-01,7.854085823999999993e-01,6.014139860885184957e-02,2.380312387571945337e-03,3.382518854968712737e-03
